Code,Entity,OWID,OWID_Name,OWID_Continent,OWID_WHO_Region,OWID_WB_Region,OWID_UN_Region,WB,WB_ISO2,WB_Name,WB_region,WB_adminregion,WB_incomeLevel,WB_lendingType,WB_capitalCity,WB_longitude,WB_latitude,WEO,WEO_Country
SAU,Saudi Arabia,SAU,Saudi Arabia,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,SAU,SA,Saudi Arabia,Middle East & North Africa,,High income,Not classified,Riyadh,46.6977,24.6748,SAU,Saudi Arabia
SDN,Sudan,SDN,Sudan,Africa,Eastern Mediterranean,Sub-Saharan Africa,Northern Africa and Western Asia,SDN,SD,Sudan,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Khartoum,32.5363,15.5932,SDN,Sudan
SEN,Senegal,SEN,Senegal,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SEN,SN,Senegal,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Dakar,-17.4734,14.7247,SEN,Senegal
SGP,Singapore,SGP,Singapore,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,SGP,SG,Singapore,East Asia & Pacific,,High income,Not classified,Singapore,103.85,1.28941,SGP,Singapore
SGS,South Georgia and the South Sandwich Islands,SGS,South Georgia and the South Sandwich Islands,South America,,,Latin America and Caribbean,,,,,,,,,,,,
SHN,Saint Helena,SHN,Saint Helena,Africa,,,,,,,,,,,,,,,
SJM,Svalbard and Jan Mayen,SJM,Svalbard and Jan Mayen,Europe,,,,,,,,,,,,,,,
SLB,Solomon Islands,SLB,Solomon Islands,Oceania,Western Pacific,East Asia and Pacific,Oceania,SLB,SB,Solomon Islands,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Honiara,159.949,-9.42676,SLB,Solomon Islands
SLE,Sierra Leone,SLE,Sierra Leone,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SLE,SL,Sierra Leone,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Freetown,-13.2134,8.4821,SLE,Sierra Leone
SLV,El Salvador,SLV,El Salvador,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,SLV,SV,El Salvador,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IBRD,San Salvador,-89.2073,13.7034,SLV,El Salvador
SMR,San Marino,SMR,San Marino,Europe,Europe,Europe and Central Asia,Europe and Northern America,SMR,SM,San Marino,Europe & Central Asia,,High income,Not classified,San Marino,12.4486,43.9322,SMR,San Marino
SOM,Somalia,SOM,Somalia,Africa,Eastern Mediterranean,Sub-Saharan Africa,Sub-Saharan Africa,SOM,SO,Somalia,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Mogadishu,45.3254,2.07515,SOM,Somalia
SPM,Saint Pierre and Miquelon,SPM,Saint Pierre and Miquelon,North America,,,,,,,,,,,,,,,
SRB,Serbia,SRB,Serbia,Europe,Europe,Europe and Central Asia,Europe and Northern America,SRB,RS,Serbia,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Belgrade,20.4656,44.8024,SRB,Serbia
SSA,Sub-Saharan Africa (excluding high income),,,,,,,SSA,ZF,Sub-Saharan Africa (excluding high income),Aggregates,,Aggregates,Aggregates,,,,,
SSD,South Sudan,SSD,South Sudan,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SSD,SS,South Sudan,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Juba,31.6,4.85,SSD,South Sudan
SSF,Sub-Saharan Africa ,,,,,,,SSF,ZG,Sub-Saharan Africa ,Aggregates,,Aggregates,Aggregates,,,,,
SST,Small states,,,,,,,SST,S1,Small states,Aggregates,,Aggregates,Aggregates,,,,,
STP,Sao Tome and Principe,STP,Sao Tome and Principe,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,STP,ST,Sao Tome and Principe,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Sao Tome,6.6071,0.20618,STP,SÃ£o TomÃ© and PrÃ­ncipe
SUR,Suriname,SUR,Suriname,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,SUR,SR,Suriname,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Paramaribo,-55.1679,5.8232,SUR,Suriname
SVK,Slovakia,SVK,Slovakia,Europe,Europe,Europe and Central Asia,Europe and Northern America,SVK,SK,Slovak Republic,Europe & Central Asia,,High income,Not classified,Bratislava,17.1073,48.1484,SVK,Slovak Republic
SVN,Slovenia,SVN,Slovenia,Europe,Europe,Europe and Central Asia,Europe and Northern America,SVN,SI,Slovenia,Europe & Central Asia,,High income,Not classified,Ljubljana,14.5044,46.0546,SVN,Slovenia
SWE,Sweden,SWE,Sweden,Europe,Europe,Europe and Central Asia,Europe and Northern America,SWE,SE,Sweden,Europe & Central Asia,,High income,Not classified,Stockholm,18.0645,59.3327,SWE,Sweden
SWZ,Eswatini,SWZ,Eswatini,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SWZ,SZ,Eswatini,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IBRD,Mbabane,31.4659,-26.5225,SWZ,Eswatini
SXM,Sint Maarten (Dutch part),SXM,Sint Maarten (Dutch part),North America,,Latin America and Caribbean,Latin America and Caribbean,SXM,SX,Sint Maarten (Dutch part),Latin America & Caribbean ,,High income,Not classified,Philipsburg,,,,
SXZ,Sub-Saharan Africa excluding South Africa,,,,,,,SXZ,A4,Sub-Saharan Africa excluding South Africa,Aggregates,,Aggregates,Aggregates,,,,,
SYC,Seychelles,SYC,Seychelles,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SYC,SC,Seychelles,Sub-Saharan Africa ,,High income,IBRD,Victoria,55.4466,-4.6309,SYC,Seychelles
SYR,Syria,SYR,Syria,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,SYR,SY,Syrian Arab Republic,Middle East & North Africa,Middle East & North Africa (excluding high income),Low income,IDA,Damascus,36.3119,33.5146,SYR,Syria
TCA,Turks and Caicos Islands,TCA,Turks and Caicos Islands,North America,,Latin America and Caribbean,Latin America and Caribbean,TCA,TC,Turks and Caicos Islands,Latin America & Caribbean ,,High income,Not classified,Grand Turk,-71.141389,21.4602778,,
TCD,Chad,TCD,Chad,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,TCD,TD,Chad,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,N'Djamena,15.0445,12.1048,TCD,Chad
TEA,East Asia & Pacific (IDA & IBRD countries),,,,,,,TEA,T4,East Asia & Pacific (IDA & IBRD countries),Aggregates,,Aggregates,Aggregates,,,,,
TEC,Europe & Central Asia (IDA & IBRD countries),,,,,,,TEC,T7,Europe & Central Asia (IDA & IBRD countries),Aggregates,,Aggregates,Aggregates,,,,,
TGO,Togo,TGO,Togo,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,TGO,TG,Togo,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Lome,1.2255,6.1228,TGO,Togo
THA,Thailand,THA,Thailand,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia,THA,TH,Thailand,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,Bangkok,100.521,13.7308,THA,Thailand
TJK,Tajikistan,TJK,Tajikistan,Asia,Europe,Europe and Central Asia,Central and Southern Asia,TJK,TJ,Tajikistan,Europe & Central Asia,Europe & Central Asia (excluding high income),Lower middle income,IDA,Dushanbe,68.7864,38.5878,TJK,Tajikistan
TKL,Tokelau,TKL,Tokelau,Oceania,,,Oceania,,,,,,,,,,,,
TKM,Turkmenistan,TKM,Turkmenistan,Asia,Europe,Europe and Central Asia,Central and Southern Asia,TKM,TM,Turkmenistan,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Ashgabat,58.3794,37.9509,TKM,Turkmenistan
TLA,Latin America & the Caribbean (IDA & IBRD countries),,,,,,,TLA,T2,Latin America & the Caribbean (IDA & IBRD countries),Aggregates,,Aggregates,Aggregates,,,,,
TLS,Timor-Leste,TLS,Timor-Leste,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia,TLS,TL,Timor-Leste,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,Blend,Dili,125.567,-8.56667,TLS,Timor-Leste
TMN,Middle East & North Africa (IDA & IBRD countries),,,,,,,TMN,T3,Middle East & North Africa (IDA & IBRD countries),Aggregates,,Aggregates,Aggregates,,,,,
TON,Tonga,TON,Tonga,Oceania,Western Pacific,East Asia and Pacific,Oceania,TON,TO,Tonga,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IDA,Nuku'alofa,-175.216,-21.136,TON,Tonga
TSA,South Asia (IDA & IBRD),,,,,,,TSA,T5,South Asia (IDA & IBRD),Aggregates,,Aggregates,Aggregates,,,,,
TSS,Sub-Saharan Africa (IDA & IBRD countries),,,,,,,TSS,T6,Sub-Saharan Africa (IDA & IBRD countries),Aggregates,,Aggregates,Aggregates,,,,,
TTO,Trinidad and Tobago,TTO,Trinidad and Tobago,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,TTO,TT,Trinidad and Tobago,Latin America & Caribbean ,,High income,IBRD,Port-of-Spain,-61.4789,10.6596,TTO,Trinidad and Tobago
TUN,Tunisia,TUN,Tunisia,Africa,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,TUN,TN,Tunisia,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Tunis,10.21,36.7899,TUN,Tunisia
TUR,Turkey,TUR,Turkey,Asia,Europe,Europe and Central Asia,Northern Africa and Western Asia,TUR,TR,Turkey,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Ankara,32.3606,39.7153,TUR,Turkey
TUV,Tuvalu,TUV,Tuvalu,Oceania,Western Pacific,East Asia and Pacific,Oceania,TUV,TV,Tuvalu,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IDA,Funafuti,179.089567,-8.6314877,TUV,Tuvalu
TWN,Taiwan,TWN,Taiwan,Asia,,,,TWN,TW,"Taiwan, China",East Asia & Pacific,,High income,Not classified,,,,TWN,Taiwan Province of China
TZA,Tanzania,TZA,Tanzania,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,TZA,TZ,Tanzania,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Dodoma,35.7382,-6.17486,TZA,Tanzania
UGA,Uganda,UGA,Uganda,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,UGA,UG,Uganda,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Kampala,32.5729,0.314269,UGA,Uganda
UKR,Ukraine,UKR,Ukraine,Europe,Europe,Europe and Central Asia,Europe and Northern America,UKR,UA,Ukraine,Europe & Central Asia,Europe & Central Asia (excluding high income),Lower middle income,IBRD,Kiev,30.5038,50.4536,UKR,Ukraine
UMC,Upper middle income,,Upper-middle-income countries,,,,,UMC,XT,Upper middle income,Aggregates,,Aggregates,Aggregates,,,,,
UMI,United States Minor Outlying Islands,UMI,United States Minor Outlying Islands,Oceania,,,,,,,,,,,,,,,
URY,Uruguay,URY,Uruguay,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,URY,UY,Uruguay,Latin America & Caribbean ,,High income,IBRD,Montevideo,-56.0675,-34.8941,URY,Uruguay
USA,United States,USA,United States,North America,Americas,North America,Europe and Northern America,USA,US,United States,North America,,High income,Not classified,Washington D.C.,-77.032,38.8895,USA,United States
UZB,Uzbekistan,UZB,Uzbekistan,Asia,Europe,Europe and Central Asia,Central and Southern Asia,UZB,UZ,Uzbekistan,Europe & Central Asia,Europe & Central Asia (excluding high income),Lower middle income,Blend,Tashkent,69.269,41.3052,UZB,Uzbekistan
VAT,Vatican,VAT,Vatican,Europe,,,,,,,,,,,,,,,
VCT,St. Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,VCT,VC,St. Vincent and the Grenadines,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Blend,Kingstown,-61.2653,13.2035,VCT,St. Vincent and the Grenadines
VEN,Venezuela,VEN,Venezuela,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,VEN,VE,"Venezuela, RB",Latin America & Caribbean ,,Not classified,IBRD,Caracas,-69.8371,9.08165,VEN,Venezuela
VGB,British Virgin Islands,VGB,British Virgin Islands,North America,,Latin America and Caribbean,Latin America and Caribbean,VGB,VG,British Virgin Islands,Latin America & Caribbean ,,High income,Not classified,Road Town,-64.623056,18.431389,,
VIR,Virgin Islands (U.S.),VIR,United States Virgin Islands,North America,,Latin America and Caribbean,Latin America and Caribbean,VIR,VI,Virgin Islands (U.S.),Latin America & Caribbean ,,High income,Not classified,Charlotte Amalie,-64.8963,18.3358,,
VNM,Vietnam,VNM,Vietnam,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,VNM,VN,Vietnam,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IBRD,Hanoi,105.825,21.0069,VNM,Vietnam
VUT,Vanuatu,VUT,Vanuatu,Oceania,Western Pacific,East Asia and Pacific,Oceania,VUT,VU,Vanuatu,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Port-Vila,168.321,-17.7404,VUT,Vanuatu
WLF,Wallis and Futuna Islands,WLF,Wallis and Futuna Islands,Oceania,,,Oceania,,,,,,,,,,,,
WSM,Samoa,WSM,Samoa,Oceania,Western Pacific,East Asia and Pacific,Oceania,WSM,WS,Samoa,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Apia,-171.752,-13.8314,WSM,Samoa
XZN,Sub-Saharan Africa excluding South Africa and Nigeria,,,,,,,XZN,A5,Sub-Saharan Africa excluding South Africa and Nigeria,Aggregates,,Aggregates,Aggregates,,,,,
YEM,Yemen,YEM,Yemen,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,YEM,YE,"Yemen, Rep.",Middle East & North Africa,Middle East & North Africa (excluding high income),Low income,IDA,Sana'a,44.2075,15.352,YEM,Yemen
ZAF,South Africa,ZAF,South Africa,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,ZAF,ZA,South Africa,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Pretoria,28.1871,-25.746,ZAF,South Africa
ZMB,Zambia,ZMB,Zambia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,ZMB,ZM,Zambia,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Lusaka,28.2937,-15.3982,ZMB,Zambia
ZWE,Zimbabwe,ZWE,Zimbabwe,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,ZWE,ZW,Zimbabwe,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Harare,31.0672,-17.8312,ZWE,Zimbabwe
,Asia (excl. China & India),,Asia (excl. China & India),,,,,,,,,,,,,,,,
,North America (excl. USA),,North America (excl. USA),,,,,,,,,,,,,,,,
,French Equatorial Africa,,French Equatorial Africa,,,,,,,,,,,,,,,,
,St. Kitts-Nevis-Anguilla,,St. Kitts-Nevis-Anguilla,,,,,,,,,,,,,,,,
,International transport,,International transport,,,,,,,,,,,,,,,,
,Europe (excl. EU-27),,Europe (excl. EU-27),,,,,,,,,,,,,,,,
,Europe (excl. EU-28),,Europe (excl. EU-28),,,,,,,,,,,,,,,,
,U.S. Pacific Islands,,U.S. Pacific Islands,,,,,,,,,,,,,,,,
,European Union (28),,European Union (28),,,,,,,,,,,,,,,,
,Hawaiian Trade Zone,,Hawaiian Trade Zone,,,,,,,,,,,,,,,,
,French West Africa,,French West Africa,,,,,,,,,,,,,,,,
,Kuwaiti Oil Fires,,Kuwaiti Oil Fires,,,,,,,,,,,,,,,,
,Panama Canal Zone,,Panama Canal Zone,,,,,,,,,,,,,,,,
,U.S. Territories,,U.S. Territories,,,,,,,,,,,,,,,,
,Leeward Islands,,Leeward Islands,,,,,,,,,,,,,,,,
,Eastern Africa,,Eastern Africa,,,,,,,,,,,,,,,,
,Ryukyu Islands,,Ryukyu Islands,,,,,,,,,,,,,,,,
,Western Africa,,Western Africa,,,,,,,,,,,,,,,,
,International,,International,,,,,,,,,,,,,,,,
,Middle Africa,,Middle Africa,,,,,,,,,,,,,,,,
,South America,,South America,,,,,,,,,,,,,,,,
,Asia Pacific,,Asia Pacific,,,,,,,,,,,,,,,,
,Middle East,,Middle East,,,,,,,,,,,,,,,,
,Wake Island,,Wake Island,,,,,,,,,,,,,,,,
,Non-OECD,,Non-OECD,,,,,,,,,,,,,,,,
,Oceania,,Oceania,,,,,,,,,,,,,,,,
,Asia,,Asia,,,,,,,,,,,,,,,,
,CIS,,CIS,,,,,,,,,,,,,,,,
